Vuosi;Kk;Pv;Klo;RH;C
2020;9;25;0:00;88;12,9
2020;9;25;0:10;89;12,9
2020;9;25;0:20;89;12,7
2020;9;25;0:30;90;12,8
2020;9;25;0:40;90;12,7
2020;9;25;0:50;90;12,8
2020;9;25;1:00;91;12,6
2020;9;25;1:10;90;12,9
2020;9;25;1:20;90;13
2020;9;25;1:30;91;12,7
2020;9;25;1:40;91;13
2020;9;25;1:50;91;13
2020;9;25;2:00;90;13,1
2020;9;25;2:10;90;13,2
2020;9;25;2:20;91;13,1
2020;9;25;2:30;91;13,1
2020;9;25;2:40;91;13,1
2020;9;25;2:50;92;13,2
2020;9;25;3:00;93;13,1
2020;9;25;3:10;93;13,1
2020;9;25;3:20;93;13
2020;9;25;3:30;94;12,9
2020;9;25;3:40;94;12,9
2020;9;25;3:50;94;12,9
2020;9;25;4:00;94;12,8
2020;9;25;4:10;93;13
2020;9;25;4:20;93;13
2020;9;25;4:30;94;13
2020;9;25;4:40;93;13
2020;9;25;4:50;93;13
2020;9;25;5:00;93;12,9
2020;9;25;5:10;93;13
2020;9;25;5:20;93;13
2020;9;25;5:30;94;13
2020;9;25;5:40;93;13,2
2020;9;25;5:50;92;13,2
2020;9;25;6:00;93;13,3
2020;9;25;6:10;92;13,4
2020;9;25;6:20;92;13,6
2020;9;25;6:30;90;13,9
2020;9;25;6:40;90;13,9
2020;9;25;6:50;89;14
2020;9;25;7:00;89;14,1
2020;9;25;7:10;89;13,9
2020;9;25;7:20;89;13,9
2020;9;25;7:30;90;13,8
2020;9;25;7:40;90;13,8
2020;9;25;7:50;88;14,5
2020;9;25;8:00;86;14,7
2020;9;25;8:10;84;15,4
2020;9;25;8:20;84;15,1
2020;9;25;8:30;82;15,6
2020;9;25;8:40;80;15,9
2020;9;25;8:50;79;16
2020;9;25;9:00;79;16,1
2020;9;25;9:10;78;16,2
2020;9;25;9:20;78;16,4
2020;9;25;9:30;77;16,5
2020;9;25;9:40;76;16,3
2020;9;25;9:50;76;16,7
2020;9;25;10:00;76;16,6
2020;9;25;10:10;75;16,7
2020;9;25;10:20;75;16,4
2020;9;25;10:30;74;17,1
2020;9;25;10:40;74;17
2020;9;25;10:50;75;16,3
2020;9;25;11:00;75;16,1
2020;9;25;11:10;75;16,3
2020;9;25;11:20;76;16,2
2020;9;25;11:30;78;15,5
2020;9;25;11:40;78;15,3
2020;9;25;11:50;79;15,2
2020;9;25;12:00;78;15,3
2020;9;25;12:10;77;15,3
2020;9;25;12:20;78;15,3
2020;9;25;12:30;76;15,4
2020;9;25;12:40;75;15,6
2020;9;25;12:50;74;15,5
2020;9;25;13:00;73;15,9
2020;9;25;13:10;73;15,9
2020;9;25;13:20;74;16
2020;9;25;13:30;73;16,1
2020;9;25;13:40;74;16,3
2020;9;25;13:50;74;16,2
2020;9;25;14:00;75;16,4
2020;9;25;14:10;75;16,2
2020;9;25;14:20;76;16,2
2020;9;25;14:30;76;16,2
2020;9;25;14:40;77;16,2
2020;9;25;14:50;78;16,2
2020;9;25;15:00;79;16
2020;9;25;15:10;79;16
2020;9;25;15:20;78;15,9
2020;9;25;15:30;79;15,8
2020;9;25;15:40;80;15,7
2020;9;25;15:50;80;15,5
2020;9;25;16:00;80;15,6
2020;9;25;16:10;81;15,3
2020;9;25;16:20;83;15
2020;9;25;16:30;80;15,2
2020;9;25;16:40;81;15
2020;9;25;16:50;83;14,4
2020;9;25;17:00;85;14,1
