TimeStamp;RH;C;;;
25.9.2020 0:02;88;12,9;;;
25.9.2020 0:17;89;12,7;;;
25.9.2020 0:32;90;12,8;;;
25.9.2020 0:47;90;12,8;;;
25.9.2020 1:02;91;12,6;;;
25.9.2020 1:17;90;13;;;
25.9.2020 1:32;91;12,7;;;
25.9.2020 1:47;91;13;;;
25.9.2020 2:02;90;13,1;;;
25.9.2020 2:17;91;13,1;;;
25.9.2020 2:32;91;13,1;;;
25.9.2020 2:47;92;13,2;;;
25.9.2020 3:02;93;13,1;;;
25.9.2020 3:17;93;13;;;
25.9.2020 3:32;94;12,9;;;
25.9.2020 3:47;94;12,9;;;
25.9.2020 4:02;94;12,8;;;
25.9.2020 4:17;93;13;;;
25.9.2020 4:32;94;13;;;
25.9.2020 4:47;93;13;;;
25.9.2020 5:02;93;12,9;;;
25.9.2020 5:17;93;13;;;
25.9.2020 5:32;94;13;;;
25.9.2020 5:47;92;13,2;;;
25.9.2020 6:02;93;13,3;;;
25.9.2020 6:17;92;13,6;;;
25.9.2020 6:32;90;13,9;;;
25.9.2020 6:47;89;14;;;
25.9.2020 7:02;89;14,1;;;
25.9.2020 7:17;89;13,9;;;
25.9.2020 7:32;90;13,8;;;
25.9.2020 7:47;88;14,5;;;
25.9.2020 8:02;86;14,7;;;
25.9.2020 8:17;84;15,1;;;
25.9.2020 8:32;82;15,6;;;
25.9.2020 8:47;79;16;;;
25.9.2020 9:02;79;16,1;;;
25.9.2020 9:17;78;16,4;;;
25.9.2020 9:32;77;16,5;;;
25.9.2020 9:47;76;16,7;;;
25.9.2020 10:02;76;16,6;;;
25.9.2020 10:17;75;16,4;;;
25.9.2020 10:32;74;17,1;;;
25.9.2020 10:47;75;16,3;;;
25.9.2020 11:02;75;16,1;;;
25.9.2020 11:17;76;16,2;;;
25.9.2020 11:32;78;15,5;;;
25.9.2020 11:47;79;15,2;;;
25.9.2020 12:02;78;15,3;;;
25.9.2020 12:17;78;15,3;;;
25.9.2020 12:32;76;15,4;;;
25.9.2020 12:47;74;15,5;;;
25.9.2020 13:02;73;15,9;;;
25.9.2020 13:17;74;16;;;
25.9.2020 13:32;73;16,1;;;
25.9.2020 13:47;74;16,2;;;
25.9.2020 14:02;75;16,4;;;
25.9.2020 14:17;76;16,2;;;
25.9.2020 14:32;76;16,2;;;
25.9.2020 14:47;78;16,2;;;
25.9.2020 15:02;79;16;;;
25.9.2020 15:17;78;15,9;;;
25.9.2020 15:32;79;15,8;;;
25.9.2020 15:47;80;15,5;;;
25.9.2020 16:02;80;15,6;;;
25.9.2020 16:17;83;15;;;
25.9.2020 16:32;80;15,2;;;
25.9.2020 16:47;83;14,4;;;
25.9.2020 17:02;85;14,1;;;
25.9.2020 17:17;88;13,9;;;
25.9.2020 17:32;85;14,3;;;
25.9.2020 17:47;83;14,6;;;
25.9.2020 18:02;85;14,3;;;
25.9.2020 18:17;83;14,2;;;
25.9.2020 18:32;82;14,3;;;
25.9.2020 18:47;82;14,2;;;
25.9.2020 19:02;82;13,9;;;
25.9.2020 19:17;82;13,7;;;
25.9.2020 19:32;83;13,5;;;
25.9.2020 19:47;82;13,4;;;
25.9.2020 20:02;83;13,4;;;
25.9.2020 20:17;83;13;;;
25.9.2020 20:32;83;13;;;
25.9.2020 20:47;83;12,8;;;
25.9.2020 21:02;83;12,7;;;
25.9.2020 21:17;83;12,4;;;
25.9.2020 21:32;83;12,4;;;
25.9.2020 21:47;84;12,1;;;
25.9.2020 22:02;84;12;;;
25.9.2020 22:17;85;11,8;;;
25.9.2020 22:32;85;11,5;;;
25.9.2020 22:47;86;11,3;;;
25.9.2020 23:02;86;11,1;;;
25.9.2020 23:17;87;11;;;
25.9.2020 23:32;87;10,7;;;
25.9.2020 23:47;87;11;;;
26.9.2020 0:02;87;10,8;;;
26.9.2020 0:17;88;10,5;;;
26.9.2020 0:32;89;10,6;;;
26.9.2020 0:47;88;10,6;;;
