TimeStamp;C
25.9.2020 0:02;12,9
25.9.2020 0:17;12,7
25.9.2020 0:32;12,8
25.9.2020 0:47;12,8
25.9.2020 1:02;12,6
25.9.2020 1:17;13
25.9.2020 1:32;12,7
25.9.2020 1:47;13
25.9.2020 2:02;13,1
25.9.2020 2:17;13,1
25.9.2020 2:32;13,1
25.9.2020 2:47;13,2
25.9.2020 3:02;13,1
25.9.2020 3:17;13
25.9.2020 3:32;12,9
25.9.2020 3:47;12,9
25.9.2020 4:02;12,8
25.9.2020 4:17;13
25.9.2020 4:32;13
25.9.2020 4:47;13
25.9.2020 5:02;12,9
25.9.2020 5:17;13
25.9.2020 5:32;13
25.9.2020 5:47;13,2
25.9.2020 6:02;13,3
25.9.2020 6:17;13,6
25.9.2020 6:32;13,9
25.9.2020 6:47;14
25.9.2020 7:02;14,1
25.9.2020 7:17;13,9
25.9.2020 7:32;13,8
25.9.2020 7:47;14,5
25.9.2020 8:02;14,7
25.9.2020 8:17;15,1
25.9.2020 8:32;15,6
25.9.2020 8:47;16
25.9.2020 9:02;16,1
25.9.2020 9:17;16,4
25.9.2020 9:32;16,5
25.9.2020 9:47;16,7
25.9.2020 10:02;16,6
25.9.2020 10:17;16,4
25.9.2020 10:32;17,1
25.9.2020 10:47;16,3
25.9.2020 11:02;16,1
25.9.2020 11:17;16,2
25.9.2020 11:32;15,5
25.9.2020 11:47;15,2
25.9.2020 12:02;15,3
25.9.2020 12:17;15,3
25.9.2020 12:32;15,4
25.9.2020 12:47;15,5
25.9.2020 13:02;15,9
25.9.2020 13:17;16
25.9.2020 13:32;16,1
25.9.2020 13:47;16,2
25.9.2020 14:02;16,4
25.9.2020 14:17;16,2
25.9.2020 14:32;16,2
25.9.2020 14:47;16,2
25.9.2020 15:02;16
25.9.2020 15:17;15,9
25.9.2020 15:32;15,8
25.9.2020 15:47;15,5
25.9.2020 16:02;15,6
25.9.2020 16:17;15
25.9.2020 16:32;15,2
25.9.2020 16:47;14,4
25.9.2020 17:02;14,1
25.9.2020 17:17;13,9
25.9.2020 17:32;14,3
25.9.2020 17:47;14,6
25.9.2020 18:02;14,3
25.9.2020 18:17;14,2
25.9.2020 18:32;14,3
25.9.2020 18:47;14,2
25.9.2020 19:02;13,9
25.9.2020 19:17;13,7
25.9.2020 19:32;13,5
25.9.2020 19:47;13,4
25.9.2020 20:02;13,4
25.9.2020 20:17;13
25.9.2020 20:32;13
25.9.2020 20:47;12,8
25.9.2020 21:02;12,7
25.9.2020 21:17;12,4
25.9.2020 21:32;12,4
25.9.2020 21:47;12,1
25.9.2020 22:02;12
25.9.2020 22:17;11,8
25.9.2020 22:32;11,5
25.9.2020 22:47;11,3
25.9.2020 23:02;11,1
25.9.2020 23:17;11
25.9.2020 23:32;10,7
25.9.2020 23:47;11
26.9.2020 0:02;10,8
26.9.2020 0:17;10,5
26.9.2020 0:32;10,6
26.9.2020 0:47;10,6
26.9.2020 1:02;10,3
26.9.2020 1:17;10,2
26.9.2020 1:32;10,1
26.9.2020 1:47;10,2
26.9.2020 2:02;10,1
26.9.2020 2:17;10,1
26.9.2020 2:32;10,1
26.9.2020 2:47;9,9
26.9.2020 3:02;9,9
26.9.2020 3:17;9,8
