TimeStamp;RH;C
2020-09-24 11:17;63,59;17,72
2020-09-24 11:32;63,59;17,72
2020-09-24 11:47;63,59;18,02
2020-09-24 12:02;63,59;18,32
2020-09-24 12:17;63,59;18,32
2020-09-24 12:32;63,59;18,32
2020-09-24 12:47;63,59;18,32
2020-09-24 13:02;63,59;18,32
2020-09-24 13:17;63,59;18,32
2020-09-24 13:32;63,59;18,32
2020-09-24 13:47;63,59;18,32
2020-09-24 14:02;63,59;18,32
2020-09-24 14:17;63,08;18,32
2020-09-24 14:32;63,08;18,32
2020-09-24 14:47;63,08;18,32
2020-09-24 15:02;63,08;18,32
2020-09-24 15:17;63,08;18,32
2020-09-24 15:32;63,08;18,32
2020-09-24 15:47;63,08;18,02
2020-09-24 16:02;63,08;18,02
2020-09-24 16:17;63,08;18,02
2020-09-24 16:32;63,08;18,02
2020-09-24 16:47;63,08;18,02
2020-09-24 17:02;63,08;18,02
2020-09-24 17:17;63,08;18,02
2020-09-24 17:32;63,08;18,02
2020-09-24 17:47;63,08;18,02
2020-09-24 18:02;63,08;18,02
2020-09-24 18:17;63,08;18,02
2020-09-24 18:32;63,08;18,02
2020-09-24 18:47;63,08;18,02
2020-09-24 19:02;63,08;18,02
2020-09-24 19:17;63,08;18,02
2020-09-24 19:32;63,08;18,02
2020-09-24 19:47;63,08;18,02
2020-09-24 20:02;63,08;18,02
2020-09-24 20:17;63,08;18,02
2020-09-24 20:32;63,08;18,02
2020-09-24 20:47;63,08;18,02
2020-09-24 21:02;63,08;18,02
2020-09-24 21:17;63,08;18,02
2020-09-24 21:32;63,08;18,02
2020-09-24 21:47;63,08;18,02
2020-09-24 22:02;63,08;18,02
2020-09-24 22:17;63,08;18,02
2020-09-24 22:32;63,08;18,02
2020-09-24 22:47;63,08;18,02
2020-09-24 23:02;63,08;18,02
2020-09-24 23:17;63,08;18,02
2020-09-24 23:32;63,08;18,02
2020-09-24 23:47;63,08;18,02
2020-09-25 00:02;63,08;18,02
2020-09-25 00:17;63,59;18,32
2020-09-25 00:32;63,59;18,32
2020-09-25 00:47;63,59;18,32
2020-09-25 01:02;63,59;18,32
2020-09-25 01:17;63,59;18,02
2020-09-25 01:32;63,59;18,02
2020-09-25 01:47;63,08;18,02
2020-09-25 02:02;63,08;18,02
2020-09-25 02:17;63,08;18,02
2020-09-25 02:32;63,08;18,02
2020-09-25 02:47;63,08;18,02
2020-09-25 03:02;63,08;18,02
2020-09-25 03:17;63,08;18,02
2020-09-25 03:32;63,08;18,32
2020-09-25 03:47;63,08;18,32
2020-09-25 04:02;63,08;18,02
2020-09-25 04:17;63,08;18,02
2020-09-25 04:32;63,08;18,32
2020-09-25 04:47;63,08;18,32
2020-09-25 05:02;63,08;18,02
2020-09-25 05:17;63,08;18,02
2020-09-25 05:32;63,08;18,32
2020-09-25 05:47;63,08;18,32
2020-09-25 06:02;63,08;18,32
2020-09-25 06:17;63,08;18,32
2020-09-25 06:32;63,08;18,32
2020-09-25 06:47;63,08;18,32
2020-09-25 07:02;63,08;18,32
2020-09-25 07:17;70,21;18,02
2020-09-25 07:32;70,21;17,42
2020-09-25 07:47;68,68;17,72
2020-09-25 08:02;68,18;17,72
2020-09-25 08:17;67,67;17,42
2020-09-25 08:32;67,16;17,72
2020-09-25 08:47;66,65;17,42
2020-09-25 09:02;66,14;18,02
2020-09-25 09:17;66,14;17,72
2020-09-25 09:32;65,63;17,72
2020-09-25 09:47;65,63;18,02
2020-09-25 10:02;65,63;18,02
2020-09-25 10:17;65,63;18,02
2020-09-25 10:32;65,63;18,02
2020-09-25 10:47;65,63;18,32
2020-09-25 11:02;65,63;18,32
2020-09-25 11:17;65,63;18,02
2020-09-25 11:32;65,63;18,02
2020-09-25 11:47;65,63;18,02
2020-09-25 12:02;65,63;18,02
2020-09-25 12:17;65,63;18,02
2020-09-25 12:32;65,12;18,02
2020-09-25 12:47;65,12;18,32
2020-09-25 13:02;65,12;18,32
2020-09-25 13:17;65,12;18,32
2020-09-25 13:32;65,12;18,62
2020-09-25 13:47;65,12;18,62
2020-09-25 14:02;65,12;18,62
2020-09-25 14:17;64,61;18,32
2020-09-25 14:32;64,61;18,32
2020-09-25 14:47;64,61;18,32
2020-09-25 15:02;64,61;18,32
2020-09-25 15:17;64,61;18,02
2020-09-25 15:32;64,61;18,02
2020-09-25 15:47;64,61;18,02
2020-09-25 16:02;64,61;18,32
2020-09-25 16:17;64,1;18,62
2020-09-25 16:32;64,1;18,62
2020-09-25 16:47;64,1;18,62
2020-09-25 17:02;64,1;18,62
2020-09-25 17:17;64,1;18,62
2020-09-25 17:32;64,1;18,62
2020-09-25 17:47;64,1;18,62
2020-09-25 18:02;64,1;18,62
2020-09-25 18:17;64,1;18,62
2020-09-25 18:32;64,1;18,62
2020-09-25 18:47;64,1;18,32
2020-09-25 19:02;64,1;18,32
2020-09-25 19:17;64,1;18,32
2020-09-25 19:32;64,1;18,32
2020-09-25 19:47;64,1;18,62
2020-09-25 20:02;64,1;18,32
2020-09-25 20:17;64,1;18,32
2020-09-25 20:32;64,1;18,32
2020-09-25 20:47;64,1;18,62
2020-09-25 21:02;63,59;18,62
2020-09-25 21:17;63,59;18,62
2020-09-25 21:32;63,59;18,62
2020-09-25 21:47;63,59;18,32
2020-09-25 22:02;63,59;18,62
2020-09-25 22:17;63,59;18,62
2020-09-25 22:32;63,59;18,32
2020-09-25 22:47;64,1;18,32
2020-09-25 23:02;64,1;18,32
2020-09-25 23:17;64,1;18,32
2020-09-25 23:32;64,1;18,32
2020-09-25 23:47;64,1;18,32
2020-09-26 00:02;64,1;18,32
2020-09-26 00:17;63,59;18,62
2020-09-26 00:32;63,59;18,62
2020-09-26 00:47;63,59;18,32
2020-09-26 01:02;63,59;18,32
2020-09-26 01:17;63,59;18,32
2020-09-26 01:32;63,59;18,32
2020-09-26 01:47;63,59;18,32
2020-09-26 02:02;63,59;18,32
2020-09-26 02:17;63,59;18,02
2020-09-26 02:32;63,08;18,02
2020-09-26 02:47;63,08;18,02
2020-09-26 03:02;63,08;18,02
2020-09-26 03:17;63,08;18,02
2020-09-26 03:32;63,08;18,32
2020-09-26 03:47;63,08;18,32
2020-09-26 04:02;63,08;18,32
2020-09-26 04:17;63,08;18,32
2020-09-26 04:32;63,08;18,02
2020-09-26 04:47;63,08;18,32
2020-09-26 05:02;63,59;18,32
2020-09-26 05:17;63,59;18,32
2020-09-26 05:32;63,08;18,32
2020-09-26 05:47;63,08;18,32
2020-09-26 06:02;63,08;18,32
2020-09-26 06:17;63,08;18,32
2020-09-26 06:32;63,08;18,02
2020-09-26 06:47;63,08;18,02
2020-09-26 07:02;63,08;18,02
2020-09-26 07:17;63,08;18,02
2020-09-26 07:32;63,08;18,02
2020-09-26 07:47;63,08;18,02
2020-09-26 08:02;63,08;18,02
2020-09-26 08:17;63,08;17,72
2020-09-26 08:32;63,08;17,72
2020-09-26 08:47;63,08;18,02
2020-09-26 09:02;63,08;18,02
2020-09-26 09:17;63,08;18,32
2020-09-26 09:32;63,08;18,32
2020-09-26 09:47;63,08;18,32
2020-09-26 10:02;62,57;18,62
2020-09-26 10:17;62,57;18,62
2020-09-26 10:32;62,57;18,62
2020-09-26 10:47;62,57;18,62
2020-09-26 11:02;62,57;18,62
2020-09-26 11:17;62,57;18,62
2020-09-26 11:32;63,08;18,62
2020-09-26 11:47;63,08;18,62
2020-09-26 12:02;63,08;18,62
2020-09-26 12:17;63,08;18,62
2020-09-26 12:32;63,08;18,62
2020-09-26 12:47;62,57;18,62
2020-09-26 13:02;62,57;18,62
2020-09-26 13:17;62,57;18,62
2020-09-26 13:32;62,57;18,62
