Time;%RH;°C
24.9.2020 11:14;-4.9;15.66
24.9.2020 11:29;-9.4;16.54
24.9.2020 11:44;113.1;17.13
24.9.2020 11:59;105.3;17.42
24.9.2020 12:14;95.5;17.42
24.9.2020 12:29;92.1;18.02
24.9.2020 12:44;88.2;18.62
24.9.2020 12:59;86.2;18.93
24.9.2020 13:14;84.7;18.93
24.9.2020 13:29;84.2;19.54
24.9.2020 13:44;83.7;19.23
24.9.2020 13:59;83.7;19.54
24.9.2020 14:14;81.3;19.23
24.9.2020 14:29;78.3;19.85
24.9.2020 14:44;74.8;20.16
24.9.2020 14:59;78.3;20.16
24.9.2020 15:14;78.8;19.23
24.9.2020 15:29;78.3;19.23
24.9.2020 15:44;78.8;19.54
24.9.2020 15:59;80.3;18.93
24.9.2020 16:14;83.2;18.93
24.9.2020 16:29;83.7;18.62
24.9.2020 16:44;84.2;18.32
24.9.2020 16:59;87.7;18.02
24.9.2020 17:14;88.6;18.02
24.9.2020 17:29;90.6;17.42
24.9.2020 17:44;91.1;17.13
24.9.2020 17:59;94.0;17.13
24.9.2020 18:14;96.5;16.24
24.9.2020 18:29;98.0;16.24
24.9.2020 18:44;98.5;16.24
24.9.2020 18:59;99.4;15.95
24.9.2020 19:14;99.4;15.95
24.9.2020 19:29;100.4;15.38
24.9.2020 19:44;102.4;15.66
24.9.2020 19:59;101.4;15.38
24.9.2020 20:14;101.9;15.09
24.9.2020 20:29;100.9;14.80
24.9.2020 20:44;100.4;14.80
24.9.2020 20:59;99.9;14.52
24.9.2020 21:14;99.9;14.52
24.9.2020 21:29;100.9;13.95
24.9.2020 21:44;100.9;13.95
24.9.2020 21:59;101.9;13.95
24.9.2020 22:14;100.4;14.24
24.9.2020 22:29;100.9;13.67
24.9.2020 22:44;101.4;13.67
24.9.2020 22:59;99.9;13.67
24.9.2020 23:14;99.4;13.39
24.9.2020 23:29;99.9;13.11
24.9.2020 23:44;98.9;13.11
24.9.2020 23:59;99.9;12.84
25.9.2020 0:14;99.4;12.84
25.9.2020 0:29;99.9;12.84
25.9.2020 0:44;99.9;12.84
25.9.2020 0:59;102.4;12.56
25.9.2020 1:14;102.9;12.56
25.9.2020 1:29;104.3;12.56
25.9.2020 1:44;107.3;12.28
25.9.2020 1:59;106.8;12.28
25.9.2020 2:14;109.7;12.01
25.9.2020 2:29;110.7;12.28
25.9.2020 2:44;111.2;11.73
25.9.2020 2:59;112.1;12.28
25.9.2020 3:14;113.1;12.01
25.9.2020 3:29;-12.5;11.73
25.9.2020 3:44;-11.5;11.73
25.9.2020 3:59;-9.4;12.28
25.9.2020 4:14;-8.4;12.28
25.9.2020 4:29;-9.4;12.28
25.9.2020 4:44;-7.9;12.28
25.9.2020 4:59;-6.9;12.56
25.9.2020 5:14;-5.9;12.56
25.9.2020 5:29;-5.9;12.56
25.9.2020 5:44;-6.9;12.01
25.9.2020 5:59;-7.4;12.01
25.9.2020 6:14;-6.9;12.01
25.9.2020 6:29;-5.9;12.56
25.9.2020 6:44;-5.4;12.01
25.9.2020 6:59;-5.4;12.28
25.9.2020 7:14;-7.4;12.84
25.9.2020 7:29;-9.9;12.84
25.9.2020 7:44;-7.4;12.84
25.9.2020 7:59;-7.4;13.11
25.9.2020 8:14;-5.9;13.11
25.9.2020 8:29;-5.9;13.39
25.9.2020 8:44;-6.9;13.39
25.9.2020 8:59;-7.4;13.67
25.9.2020 9:14;-8.4;13.39
25.9.2020 9:29;-9.9;13.95
25.9.2020 9:44;-11.0;13.95
25.9.2020 9:59;-12.0;13.95
25.9.2020 10:14;112.6;14.80
25.9.2020 10:29;110.7;14.80
25.9.2020 10:44;106.3;15.09
25.9.2020 10:59;103.8;15.66
25.9.2020 11:14;99.9;15.38
25.9.2020 11:29;97.5;15.95
25.9.2020 11:44;97.5;15.66
25.9.2020 11:59;93.6;16.24
25.9.2020 12:14;90.6;16.54
25.9.2020 12:29;89.6;16.24
25.9.2020 12:44;88.2;16.54
25.9.2020 12:59;86.7;16.83
25.9.2020 13:14;85.7;16.24
25.9.2020 13:29;87.7;16.24
25.9.2020 13:44;87.7;15.95
25.9.2020 13:59;88.6;16.24
25.9.2020 14:14;86.7;15.95
25.9.2020 14:29;83.7;15.66
25.9.2020 14:44;81.7;16.54
25.9.2020 14:59;81.3;16.24
25.9.2020 15:14;81.7;16.54
25.9.2020 15:29;83.7;16.54
25.9.2020 15:44;83.7;15.95
25.9.2020 15:59;86.2;16.54
25.9.2020 16:14;88.2;15.95
25.9.2020 16:29;90.6;15.66
25.9.2020 16:44;92.1;15.95
25.9.2020 16:59;93.6;15.66
25.9.2020 17:14;95.0;15.66
25.9.2020 17:29;98.0;15.09
25.9.2020 17:44;96.0;15.95
25.9.2020 17:59;93.1;15.38
25.9.2020 18:14;93.1;15.66
25.9.2020 18:29;93.6;14.80
25.9.2020 18:44;94.0;15.09
25.9.2020 18:59;93.1;14.80
25.9.2020 19:14;92.6;14.80
25.9.2020 19:29;94.0;14.80
25.9.2020 19:44;94.5;14.52
25.9.2020 19:59;95.0;14.80
25.9.2020 20:14;95.5;14.24
25.9.2020 20:29;95.5;14.52
25.9.2020 20:44;95.5;13.95
25.9.2020 20:59;96.5;13.95
25.9.2020 21:14;97.5;13.95
25.9.2020 21:29;97.5;13.39
25.9.2020 21:44;98.0;13.39
25.9.2020 21:59;98.0;13.11
25.9.2020 22:14;98.5;12.84
