TimeStamp;C
25.9.2020 0:02;12,84
25.9.2020 0:17;12,84
25.9.2020 0:32;12,84
25.9.2020 0:47;12,84
25.9.2020 1:02;12,56
25.9.2020 1:17;12,56
25.9.2020 1:32;12,56
25.9.2020 1:47;12,28
25.9.2020 2:02;12,28
25.9.2020 2:17;12,01
25.9.2020 2:32;12,28
25.9.2020 2:47;11,73
25.9.2020 3:02;12,28
25.9.2020 3:17;12,01
25.9.2020 3:32;11,73
25.9.2020 3:47;11,73
25.9.2020 4:02;12,28
25.9.2020 4:17;12,28
25.9.2020 4:32;12,28
25.9.2020 4:47;12,28
25.9.2020 5:02;12,56
25.9.2020 5:17;12,56
25.9.2020 5:32;12,56
25.9.2020 5:47;12,01
25.9.2020 6:02;12,01
25.9.2020 6:17;12,01
25.9.2020 6:32;12,56
25.9.2020 6:47;12,01
25.9.2020 7:02;12,28
25.9.2020 7:17;12,84
25.9.2020 7:32;12,84
25.9.2020 7:47;12,84
25.9.2020 8:02;13,11
25.9.2020 8:17;13,11
25.9.2020 8:32;13,39
25.9.2020 8:47;13,39
25.9.2020 9:02;13,67
25.9.2020 9:17;13,39
25.9.2020 9:32;13,95
25.9.2020 9:47;13,95
25.9.2020 10:02;13,95
25.9.2020 10:17;14,8
25.9.2020 10:32;14,8
25.9.2020 10:47;15,09
25.9.2020 11:02;15,66
25.9.2020 11:17;15,38
25.9.2020 11:32;15,95
25.9.2020 11:47;15,66
25.9.2020 12:02;16,24
25.9.2020 12:17;16,54
25.9.2020 12:32;16,24
25.9.2020 12:47;16,54
25.9.2020 13:02;16,83
25.9.2020 13:17;16,24
25.9.2020 13:32;16,24
25.9.2020 13:47;15,95
25.9.2020 14:02;16,24
25.9.2020 14:17;15,95
25.9.2020 14:32;15,66
25.9.2020 14:47;16,54
25.9.2020 15:02;16,24
25.9.2020 15:17;16,54
25.9.2020 15:32;16,54
25.9.2020 15:47;15,95
25.9.2020 16:02;16,54
25.9.2020 16:17;15,95
25.9.2020 16:32;15,66
25.9.2020 16:47;15,95
25.9.2020 17:02;15,66
25.9.2020 17:17;15,66
25.9.2020 17:32;15,09
25.9.2020 17:47;15,95
25.9.2020 18:02;15,38
25.9.2020 18:17;15,66
25.9.2020 18:32;14,8
25.9.2020 18:47;15,09
25.9.2020 19:02;14,8
25.9.2020 19:17;14,8
25.9.2020 19:32;14,8
25.9.2020 19:47;14,52
25.9.2020 20:02;14,8
25.9.2020 20:17;14,24
25.9.2020 20:32;14,52
25.9.2020 20:47;13,95
25.9.2020 21:02;13,95
25.9.2020 21:17;13,95
25.9.2020 21:32;13,39
25.9.2020 21:47;13,39
25.9.2020 22:02;13,11
25.9.2020 22:17;12,84
25.9.2020 22:32;12,84
25.9.2020 22:47;12,56
25.9.2020 23:02;12,84
25.9.2020 23:17;12,56
25.9.2020 23:32;12,56
25.9.2020 23:47;12,28
26.9.2020 0:02;12,01
26.9.2020 0:17;12,01
26.9.2020 0:32;11,73
26.9.2020 0:47;11,73
26.9.2020 1:02;11,73
26.9.2020 1:17;11,46
26.9.2020 1:32;11,46
26.9.2020 1:47;11,46
26.9.2020 2:02;10,92
26.9.2020 2:17;10,92
26.9.2020 2:32;10,92
26.9.2020 2:47;10,92
26.9.2020 3:02;11,19
26.9.2020 3:17;10,92
26.9.2020 3:32;10,65
26.9.2020 3:47;10,65
26.9.2020 4:02;10,65
26.9.2020 4:17;10,92
26.9.2020 4:32;10,92
26.9.2020 4:47;10,65
26.9.2020 5:02;10,38
26.9.2020 5:17;10,38
26.9.2020 5:32;10,11
26.9.2020 5:47;10,38
26.9.2020 6:02;10,38
26.9.2020 6:17;10,38
26.9.2020 6:32;10,38
26.9.2020 6:47;10,38
26.9.2020 7:02;10,38
26.9.2020 7:17;10,38
26.9.2020 7:32;10,65
26.9.2020 7:47;10,92
26.9.2020 8:02;10,92
26.9.2020 8:17;10,92
26.9.2020 8:32;11,73
26.9.2020 8:47;11,73
26.9.2020 9:02;12,56
26.9.2020 9:17;12,56
26.9.2020 9:32;12,84
