TimeStamp;RH
25.9.2020 0:02;99,9
25.9.2020 0:17;99,4
25.9.2020 0:32;99,9
25.9.2020 0:47;99,9
25.9.2020 1:02;102,4
25.9.2020 1:17;102,9
25.9.2020 1:32;104,3
25.9.2020 1:47;107,3
25.9.2020 2:02;106,8
25.9.2020 2:17;109,7
25.9.2020 2:32;110,7
25.9.2020 2:47;111,2
25.9.2020 3:02;112,1
25.9.2020 3:17;113,1
25.9.2020 3:32;-12,5
25.9.2020 3:47;-11,5
25.9.2020 4:02;-9,4
25.9.2020 4:17;-8,4
25.9.2020 4:32;-9,4
25.9.2020 4:47;-7,9
25.9.2020 5:02;-6,9
25.9.2020 5:17;-5,9
25.9.2020 5:32;-5,9
25.9.2020 5:47;-6,9
25.9.2020 6:02;-7,4
25.9.2020 6:17;-6,9
25.9.2020 6:32;-5,9
25.9.2020 6:47;-5,4
25.9.2020 7:02;-5,4
25.9.2020 7:17;-7,4
25.9.2020 7:32;-9,9
25.9.2020 7:47;-7,4
25.9.2020 8:02;-7,4
25.9.2020 8:17;-5,9
25.9.2020 8:32;-5,9
25.9.2020 8:47;-6,9
25.9.2020 9:02;-7,4
25.9.2020 9:17;-8,4
25.9.2020 9:32;-9,9
25.9.2020 9:47;-11
25.9.2020 10:02;-12
25.9.2020 10:17;112,6
25.9.2020 10:32;110,7
25.9.2020 10:47;106,3
25.9.2020 11:02;103,8
25.9.2020 11:17;99,9
25.9.2020 11:32;97,5
25.9.2020 11:47;97,5
25.9.2020 12:02;93,6
25.9.2020 12:17;90,6
25.9.2020 12:32;89,6
25.9.2020 12:47;88,2
25.9.2020 13:02;86,7
25.9.2020 13:17;85,7
25.9.2020 13:32;87,7
25.9.2020 13:47;87,7
25.9.2020 14:02;88,6
25.9.2020 14:17;86,7
25.9.2020 14:32;83,7
25.9.2020 14:47;81,7
25.9.2020 15:02;81,3
25.9.2020 15:17;81,7
25.9.2020 15:32;83,7
25.9.2020 15:47;83,7
25.9.2020 16:02;86,2
25.9.2020 16:17;88,2
25.9.2020 16:32;90,6
25.9.2020 16:47;92,1
25.9.2020 17:02;93,6
25.9.2020 17:17;95
25.9.2020 17:32;98
25.9.2020 17:47;96
25.9.2020 18:02;93,1
25.9.2020 18:17;93,1
25.9.2020 18:32;93,6
25.9.2020 18:47;94
25.9.2020 19:02;93,1
25.9.2020 19:17;92,6
25.9.2020 19:32;94
25.9.2020 19:47;94,5
25.9.2020 20:02;95
25.9.2020 20:17;95,5
25.9.2020 20:32;95,5
25.9.2020 20:47;95,5
25.9.2020 21:02;96,5
25.9.2020 21:17;97,5
25.9.2020 21:32;97,5
25.9.2020 21:47;98
25.9.2020 22:02;98
25.9.2020 22:17;98,5
25.9.2020 22:32;98,5
25.9.2020 22:47;98
25.9.2020 23:02;98,5
25.9.2020 23:17;98,5
25.9.2020 23:32;99,4
25.9.2020 23:47;99,4
26.9.2020 0:02;99,4
26.9.2020 0:17;100,9
26.9.2020 0:32;99,9
26.9.2020 0:47;99,9
26.9.2020 1:02;99,4
26.9.2020 1:17;100,4
26.9.2020 1:32;100,9
26.9.2020 1:47;101,4
26.9.2020 2:02;102,4
26.9.2020 2:17;102,9
26.9.2020 2:32;103,4
26.9.2020 2:47;103,4
26.9.2020 3:02;103,8
26.9.2020 3:17;104,3
26.9.2020 3:32;104,8
26.9.2020 3:47;104,8
26.9.2020 4:02;104,8
26.9.2020 4:17;104,3
26.9.2020 4:32;104,3
26.9.2020 4:47;104,8
26.9.2020 5:02;104,8
26.9.2020 5:17;105,8
26.9.2020 5:32;105,8
26.9.2020 5:47;106,3
26.9.2020 6:02;106,8
26.9.2020 6:17;107,3
26.9.2020 6:32;107,8
26.9.2020 6:47;108,2
26.9.2020 7:02;107,8
26.9.2020 7:17;107,3
26.9.2020 7:32;106,8
26.9.2020 7:47;105,8
26.9.2020 8:02;104,8
26.9.2020 8:17;104,3
